20	1034.75	45.2603	2	1	
19	1057.43	62.6351	2	1	
26	968.061	71.599	2	1	
23	928.323	49.3234	2	1	
20	1053.8	53.9094	2	1	
33	930.584	58.1312	2	1	
19	1028.37	71.0186	2	0	
22	629.763	68.7653	2	1	
15	1150	74.0412	2	0	
12	962.444	77.4362	2	1	
12	1254.52	65.8111	2	0	
19	1290.58	62.4407	2	0	
30	1130.04	46.6101	2	1	
13	793.939	64.3791	2	0	
25	1034.59	62.5256	2	1	
33	1118.67	40.6388	2	1	
19	1173.29	79.2076	2	0	
26	1118.68	42.0871	2	1	
14	690.755	73.9208	2	1	
17	933.459	46.3966	2	1	
26	1078.95	56.7021	2	1	
16	925.607	68.664	2	1	
12	1154.33	51.3796	2	1	
26	1012.22	64.631	2	1	
28	1022.85	71.6209	2	1	
23	1089.57	71.766	2	1	
25	1087.09	61.7809	2	1	
13	1176.39	43.5382	2	1	
16	1221.5	56.9895	2	0	
23	1018.68	53.3153	2	0	
33	928.746	73.5593	2	1	
15	1119.63	51.8149	2	1	
24	934.68	72.2068	2	0	
22	1135.93	50.7389	2	0	
23	1048.82	73.2883	1	1	
22	1100.7	32.1896	1	1	
28	1020.75	70.3231	1	1	
8	1139.13	57.7479	1	1	
20	959.504	74.9119	1	1	
20	1181.01	49.5561	1	0	
20	1031.26	68.8501	1	1	
13	1025.29	54.0052	1	1	
21	835.851	62.5749	1	1	
19	812.146	58.2873	1	0	
21	1030.68	65.0171	1	1	
27	913.929	52.138	1	1	
26	1024.19	60.8664	1	0	
29	798.343	62.2819	1	1	
26	1164.24	48.91	1	1	
23	861.448	57.1319	1	1	
22	1217.14	59.5248	1	1	
27	1005.02	53.0415	1	1	
14	977.432	63.8069	1	1	
28	1020.09	43.4944	1	1	
18	1125.92	74.0768	1	1	
20.9	1085.79	57.7972	2	0	
25	975.934	72.2479	2	1	
20	927.058	69.0363	2	1	
12	1025.15	70.1452	2	0	
19.8	973.606	66.282	2	1	
22	1068.7	51.5165	2	1	
13	862.84	75.1583	1	1	
20	629.616	45.1919	2	0	
24	1014.66	20.8437	2	1	
22	1163.97	52.7458	2	1	
15	1106.98	43.1795	2	1	
11	1057.54	79.5061	1	1	
