0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	22	-32	13	46	38	13	14	84	-6	-20	-27	11	-3	-2	0	5	13	21	-15	5	2	-21	-17	9	27	13	16	23	9	10	-16	-20	5	9	14	39	12	57	58	27	15	67	9	66	39	38	-10	-2	12	20	10	23	40	0	21	7	-2	58	42	64	21	38	8	32	7	11	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	3	-15	-5	-17	-37	-19	-210	4	-77	-40	-61	177	-117	-3	15	7	-6	-12	-12	-24	-7	27	10	-17	-104	-77	-29	-12	-9	-9	22	-2	100	-9	1	2	9	2	-45	2	-159	-1	-32	-26	-6	22	-207	-2	13	-28	-10	-24	-17	19	-8	4	0	-13	0	19	-34	-33	-17	-1	-14	-11	57	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	-3	-2	-39	5	-21	-18	-58	-9	-20	9	-73	-32	-69	-5	-44	5	1	8	5	-1	-6	1	-20	-4	-44	19	16	15	-4	3	0	-3	8	6	6	-1	4	-17	-12	6	0	30	51	-88	-60	-40	-73	2	20	8	14	1	-14	-6	1	16	28	-2	15	-6	3	-11	3	8	-10	2	63	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	-3	9	32	9	34	17	65	17	98	10	48	61	47	15	32	-4	6	11	-5	77	-5	26	30	1	13	-4	63	13	15	8	10	17	40	2	-2	-1	-30	13	-18	9	-17	7	18	-91	9	1	-38	4	17	22	3	24	5	16	5	27	17	4	1	22	48	26	2	-4	-9	15	-91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	-6	21	9	-10	23	37	18	7	38	-29	31	43	-46	-9	-3	23	15	13	13	14	-10	6	25	-46	21	5	22	-6	-8	-4	-17	-9	63	10	12	12	12	-2	-5	9	86	13	-14	18	-30	10	26	3	20	19	15	7	14	38	-1	-15	37	-19	10	14	27	47	0	10	-32	10	38	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-3	18	-46	0	-54	-115	-41	-3	-18	-51	-119	-20	-83	-5	-23	-44	-8	-2	-1	9	-9	-57	-94	-18	-49	-11	-35	-42	-29	-6	7	-36	-11	-1	-16	12	-18	-10	-30	-53	23	23	-13	-30	-36	-51	-40	-3	-22	-34	-11	-29	-3	-55	-20	-92	-50	-8	-56	-25	-68	-30	-22	-7	15	-1	23	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	13	28	26	4	43	19	-11	6	64	-13	58	6	33	-6	-9	12	5	-16	7	-12	26	-9	-6	29	-10	88	20	31	30	6	-13	1	134	6	-16	8	14	0	81	-5	18	-14	29	-79	90	-39	14	11	15	28	38	19	-3	-9	9	30	2	-17	44	47	-29	1	36	3	25	3	-5	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	4	-25	-10	-40	18	-46	26	0	15	-45	75	-32	-1	16	0	-1	2	40	13	-24	26	10	18	-28	0	2	22	30	1	-10	-8	55	1	4	4	33	-5	8	-4	34	14	26	47	47	11	14	10	17	9	-10	37	12	-5	13	-6	30	-3	27	-38	-4	3	-9	-6	1	-4	36	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	-9	-18	-5	-14	0	7	-59	16	57	17	30	-2	-53	-4	36	-6	25	13	-2	-36	18	-10	-7	-6	-48	-39	30	24	-25	6	-5	-14	8	5	-5	1	-9	-20	-33	-54	-71	-4	24	78	29	61	-127	-22	5	-12	-3	37	14	-24	1	-22	-31	-9	-18	4	-25	-85	-23	-21	-11	-23	31	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	-4	-9	44	14	31	36	9	20	40	-7	53	-29	97	3	3	-5	10	-10	7	65	35	7	31	18	1	-7	28	55	-26	7	-66	0	-25	5	1	14	3	-24	-47	33	27	6	6	69	-54	-24	-35	-5	-1	-15	-14	7	19	-29	22	69	16	34	-27	-13	12	61	3	-31	-30	-22	7	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	-5	-5	42	12	1	16	23	-25	108	-7	17	64	-6	16	21	1	-2	5	-30	13	-49	-12	24	25	-20	22	50	5	12	12	14	49	-8	0	8	-41	-4	24	0	91	-24	-10	-61	-86	-40	-93	-3	5	-3	7	-4	-18	29	-3	12	-68	-23	56	9	13	-13	-2	-1	-3	-1	-78	
