"Chalderdiff.pred1...i.1.de","Chalderdiff.pred1...i.1.V103","Chalderdiff.pred1...i.1.V104","Chalderdiff.pred1...i.1.V546","Chalderdiff.pred1...i.1.V901","Chalderdiff.pred1...i.1.V923","Chalderdiff.pred1...i.1.V1324","Chalderdiff.pred1...i.1.V1464","Chalderdiff.pred1...i.1.V1568","Chalderdiff.pred1...i.1.V1584","Chalderdiff.pred1...i.1.V1603","Chalderdiff.pred1...i.1.V1823","Chalderdiff.pred1...i.1.V1858","Chalderdiff.pred1...i.1.V1989","Chalderdiff.pred1...i.1.V2023","Chalderdiff.pred1...i.1.V2057","Chalderdiff.pred1...i.1.V2204","Chalderdiff.pred1...i.1.V2332","Chalderdiff.pred1...i.1.V2386","Chalderdiff.pred1...i.1.V2411","Chalderdiff.pred1...i.1.V2414","Chalderdiff.pred1...i.1.V2495","Chalderdiff.pred1...i.1.V2520","Chalderdiff.pred1...i.1.V2804","Chalderdiff.pred1...i.1.V3453","Chalderdiff.pred1...i.1.V3492","Chalderdiff.pred1...i.1.V3566","Chalderdiff.pred1...i.1.V3821","Chalderdiff.pred1...i.1.V3844","Chalderdiff.pred1...i.1.V3846","Chalderdiff.pred1...i.1.V3886","Chalderdiff.pred1...i.1.V3902","Chalderdiff.pred1...i.1.V4018","Chalderdiff.pred1...i.1.V4164","Chalderdiff.pred1...i.1.V4335","Chalderdiff.pred1...i.1.V4358","Chalderdiff.pred1...i.1.V4448","Chalderdiff.pred1...i.1.V4645","Chalderdiff.pred1...i.1.V4834","Chalderdiff.pred1...i.1.V4998","Chalderdiff.pred1...i.1.V5461","Chalderdiff.pred1...i.1.V5463","Chalderdiff.pred1...i.1.V5727","Chalderdiff.pred1...i.1.V5856","Chalderdiff.pred1...i.1.V5947","Chalderdiff.pred1...i.1.V5960","Chalderdiff.pred1...i.1.V6059","Chalderdiff.pred1...i.1.V6076","Chalderdiff.pred1...i.1.V6085","Chalderdiff.pred1...i.1.V6236","Chalderdiff.pred1...i.1.V6267","Chalderdiff.pred1...i.1.V6323","Chalderdiff.pred1...i.1.V6552","Chalderdiff.pred1...i.1.V6891","Chalderdiff.pred1...i.1.V6909","Chalderdiff.pred1...i.1.V6948","Chalderdiff.pred1...i.1.te"
"est",0,-0.015171543224815,0,0,0,0,0,-0.0345055855036071,-0.0542410805552705,0,0,0,0,0,-0.664611623136431,0,0,0,0,-0.235030215774616,0,0,0,-0.040775456638999,-0.0949214469795161,0.0354209975767894,-0.0953868064281708,0,0,0,0,0,0,0,0,-0.388094297412923,0,0,-0.137804699558962,-0.110014811444989,-0.6182196506465,-0.00189109338311739,0,0,0,0,-0.198224724704749,0,0,-0.613619417232069,0,0,0,0,-0.19486444963958,-0.12092181480659,-3.30378782222874
"mean",0,-0.0191668711200621,-0.0164562190635822,-0.0216553406317515,-0.0215101029279497,0.0351553060074646,-0.0178311070386345,-0.0765272505287698,-0.164053793637417,0.0192435803214851,0.0277342211375174,-0.00298120504900035,0.015993175017584,0.0127144561079809,-0.476044626424987,-0.0739585329048454,-0.003697076762462,0.0374047461761293,0.00511412750047983,-0.104144805897576,-0.0541341601832703,0.0051623930897965,0.0177915006104469,-0.175071368556538,-0.0775874970901377,-0.0165968084068903,-0.273193608238533,-0.0995766434299274,-0.0173166944565372,-0.0105333671256666,-0.198256631862073,0.00344906359858384,0.0218351690345582,-0.0027765732852158,-0.0368449778646659,-0.120731932972706,-0.010553021738861,-0.00570153826197304,-0.111824109805359,-0.129244040218194,-0.279040729395626,-0.124371312154636,-0.0135935168040367,-0.0033540367381507,-0.0586189518409192,-0.0866333612025138,-0.107218588454229,0.00329446969312843,-0.0135929363235742,-0.247835163751607,-0.0386555957806113,-0.0214084274267385,-0.00467524105122614,-0.0246463789348845,-0.140304559046959,-0.128263546571737,-3.23757717022273
"sd",0,0.117158749200218,0.0973391248957618,0.100481722631397,0.115991866200756,0.117082614787137,0.0995020788902825,0.182489753221016,0.274496492979339,0.0906887963734019,0.104810463834899,0.0275970215259219,0.0819236979599338,0.1048965599967,0.559407329653057,0.19960260483289,0.0442330998176403,0.154142247097497,0.11516854427471,0.209918826388631,0.16173987736312,0.0777671471622858,0.0855578885143171,0.356679136612389,0.182204062926312,0.114090264547474,0.409677806753488,0.227273703879587,0.158512740553639,0.101604292198019,0.355743394803355,0.0706581191143685,0.119886965560106,0.0681679327256808,0.150018076621648,0.231396737326913,0.0682550143286887,0.0422414572741713,0.257542124713525,0.349253062666063,0.419777660082781,0.308968295352921,0.0740001031877265,0.0527132562114335,0.205547256765412,0.21376675430902,0.232702914183967,0.0561986749602732,0.110770169999544,0.374943647057986,0.134733596222367,0.118437097660674,0.0640114975105396,0.0894536807957157,0.281630548763054,0.28154605372576,1.99297873850864
"CI_upbd",0,-0.011905430045531,-0.0104231884576556,-0.015427533379317,-0.0143209846820532,0.0424120283088942,-0.0116640176186171,-0.0652166262794826,-0.147040637364055,0.0248644268692766,0.0342303216193581,-0.00127075536418351,0.0210707651199427,0.0192158927871601,-0.441372838029614,-0.0615872626137978,-0.000955531209421471,0.0469584060780583,0.0122522166624012,-0.0911341413192886,-0.0441096029317492,0.00998236223856475,0.023094336038011,-0.152964572856634,-0.0662945797833941,-0.00952555048680656,-0.247801981291409,-0.0854903321661248,-0.00749215354132447,-0.00423598356915132,-0.176207832974645,0.0078284187204908,0.0292657036037804,0.00144844132136905,-0.0275469320000676,-0.106390078144035,-0.00632260985778116,-0.00308343372438936,-0.095861776854699,-0.107597508892436,-0.253023118556452,-0.105221610694701,-0.00900702716945887,-8.68953045062922e-05,-0.0458792349762159,-0.0733842039632538,-0.0927957774328274,0.00677763564937604,-0.00672745621424933,-0.224596342767537,-0.0303048744182961,-0.0140677549496729,-0.000707840234485314,-0.0191020842370302,-0.122849237540105,-0.110813462025319,-3.1140533380611
"CI_lwbd",0,-0.0264283121945931,-0.0224892496695089,-0.027883147884186,-0.0286992211738461,0.027898583706035,-0.0239981964586519,-0.0878378747780569,-0.181066949910779,0.0136227337736937,0.0212381206556767,-0.0046916547338172,0.0109155849152254,0.00621301942880168,-0.510716414820359,-0.086329803195893,-0.00643862231550253,0.0278510862742002,-0.0020239616614415,-0.117155470475864,-0.0641587174347913,0.000342423941028247,0.0124886651828827,-0.197178164256442,-0.0888804143968814,-0.0236680663269741,-0.298585235185657,-0.11366295469373,-0.0271412353717499,-0.016830750682182,-0.220305430749501,-0.000930291523323117,0.0144046344653361,-0.00700158789180066,-0.0461430237292641,-0.135073787801376,-0.0147834336199407,-0.00831964279955671,-0.12778644275602,-0.150890571543952,-0.3050583402348,-0.143521013614571,-0.0181800064386144,-0.00662117817179511,-0.0713586687056225,-0.0998825184417739,-0.121641399475631,-0.000188696263119179,-0.0204584164328991,-0.271073984735676,-0.0470063171429265,-0.0287490999038041,-0.00864264186796697,-0.0301906736327387,-0.157759880553814,-0.145713631118155,-3.36110100238435
