"Chalderdiff.pred1...i.1.V13","Chalderdiff.pred1...i.1.V266","Chalderdiff.pred1...i.1.V320","Chalderdiff.pred1...i.1.V372","Chalderdiff.pred1...i.1.V413","Chalderdiff.pred1...i.1.V489","Chalderdiff.pred1...i.1.V528","Chalderdiff.pred1...i.1.V532","Chalderdiff.pred1...i.1.V540","Chalderdiff.pred1...i.1.V551","Chalderdiff.pred1...i.1.V558","Chalderdiff.pred1...i.1.V759","Chalderdiff.pred1...i.1.V764","Chalderdiff.pred1...i.1.V765","Chalderdiff.pred1...i.1.V838","Chalderdiff.pred1...i.1.V883","Chalderdiff.pred1...i.1.V917","Chalderdiff.pred1...i.1.V981","Chalderdiff.pred1...i.1.V1002","Chalderdiff.pred1...i.1.V1021","Chalderdiff.pred1...i.1.V1044","Chalderdiff.pred1...i.1.V1063","Chalderdiff.pred1...i.1.V1064","Chalderdiff.pred1...i.1.V1114","Chalderdiff.pred1...i.1.V1218","Chalderdiff.pred1...i.1.V1538","Chalderdiff.pred1...i.1.V1561","Chalderdiff.pred1...i.1.V1562","Chalderdiff.pred1...i.1.V1816","Chalderdiff.pred1...i.1.V1825","Chalderdiff.pred1...i.1.V1857","Chalderdiff.pred1...i.1.V1877","Chalderdiff.pred1...i.1.V1879","Chalderdiff.pred1...i.1.V1884","Chalderdiff.pred1...i.1.V1899","Chalderdiff.pred1...i.1.V1919","Chalderdiff.pred1...i.1.V1970","Chalderdiff.pred1...i.1.V2194","Chalderdiff.pred1...i.1.V2271","Chalderdiff.pred1...i.1.V2347","Chalderdiff.pred1...i.1.V2516","Chalderdiff.pred1...i.1.V2614","Chalderdiff.pred1...i.1.V2618","Chalderdiff.pred1...i.1.V2863","Chalderdiff.pred1...i.1.V2896","Chalderdiff.pred1...i.1.V3040","Chalderdiff.pred1...i.1.V3082","Chalderdiff.pred1...i.1.V3100","Chalderdiff.pred1...i.1.V3143","Chalderdiff.pred1...i.1.V3158","Chalderdiff.pred1...i.1.V3220","Chalderdiff.pred1...i.1.V3222","Chalderdiff.pred1...i.1.V3283","Chalderdiff.pred1...i.1.V3314","Chalderdiff.pred1...i.1.V3382","Chalderdiff.pred1...i.1.V3389","Chalderdiff.pred1...i.1.V3408","Chalderdiff.pred1...i.1.V3468","Chalderdiff.pred1...i.1.V3469","Chalderdiff.pred1...i.1.te"
"est",0,-0.220229848517942,-0.216375735209394,0,0,0,0,0,-0.203829965099663,-0.752197614894055,-0.0889791072327217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01459237312538,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49620464407916
"mean",-0.00540324115400839,-0.37907697940442,-0.379895392514239,-0.077049157594623,0.00828983415878306,-0.229501697271097,-0.0947038539459434,-0.0518859325397833,-0.0898348198317217,-0.421425904053885,-0.0307040533801832,-0.0521773148174275,-0.00411332615707672,-0.0826905878156935,-0.00412188488100833,0.0426982677702864,-0.0229678316981985,-0.0424339440073759,-0.0830302732069205,-0.00369345889670623,0.0400804459164375,-0.0178438829898864,0.0100689381642968,-0.00550849073768799,-0.0403629940359714,-0.00786224118806374,-0.0072514543510953,-0.00357569758411225,-0.00840152949395874,-0.0221349309892723,-0.0182282506332654,-0.00986523884116607,-0.00270900447947615,-0.0059523829173984,0.00530722636447267,-0.00124941870634131,-0.0195684526001021,-0.009315205165276,-0.00729753232255644,0.00918418147610986,-0.0173709362919192,-0.0218592854299754,-0.0102836042631825,-0.00623969956564527,-0.0604437423752582,0.0206910040453113,-0.00827785959385939,-0.00315606307418899,0.00976646427098863,-0.00594119774316162,0.0156455387109315,0.0035607410365821,-0.00353946997029433,-0.0239705106388447,-0.0217879680063385,0.0213851231001748,-0.0203431524567897,-0.0105663295588678,-0.00315304386183648,-2.29336782240983
"sd",0.0598185919424437,0.459626303075654,0.431591929481388,0.170169037430433,0.0555068031396204,0.376322058488945,0.225530838346593,0.16222807897972,0.187363756456823,0.457848003155206,0.0955614951844812,0.168553212063025,0.0356553679381983,0.201532833682124,0.0498999595957755,0.139126137669381,0.127412825051734,0.144505381766498,0.196599590461802,0.0380764309316626,0.132921615427418,0.0888989661837919,0.0768584845494718,0.0715969288681117,0.171061112252447,0.0565132259591471,0.0628730216475671,0.0413427859357469,0.104319573603907,0.12179597464518,0.0991442695304699,0.0849218973008946,0.0279530043176679,0.0553707692275049,0.0537924441379338,0.0170530401242988,0.137279471619515,0.0661744508860375,0.0651651884224523,0.0698859087891448,0.115873709755417,0.119488326651684,0.0788311264952967,0.0496350736287507,0.161195770113988,0.281310304822427,0.0757147659756001,0.0291185429123036,0.0718555178925488,0.040126123615364,0.0896042360859423,0.0489950965301091,0.0468882660013275,0.113800145051576,0.111482126074592,0.0870537852801856,0.120263093137916,0.0597957081318914,0.0450401527266173,1.69435101010533
"CI_upbd",-0.00169571454147036,-0.35058956946814,-0.353145539126709,-0.0665021651894798,0.0117301182432875,-0.206177443031289,-0.0807255646220732,-0.0418311167945891,-0.0782221072831357,-0.393048712263269,-0.0247811993806894,-0.0417304704658634,-0.00190342416476806,-0.0701996828994493,-0.00102911017404233,0.0513212366694066,-0.015070848096303,-0.0334775722313609,-0.0708451282547869,-0.001333500622773,0.0483188616092186,-0.0123339692281138,0.0148325888557188,-0.00107094865361612,-0.0297607112765154,-0.00435957951716529,-0.00335461570278138,-0.00101329224965157,-0.00193585414477559,-0.0145860769852948,-0.0120833380596204,-0.0046018218330688,-0.000976491158068305,-0.00252053014718942,0.00864125532969387,-0.00019247975086823,-0.011059939145385,-0.00521374557281117,-0.00325862631621377,0.01351567538567,-0.0101891413238084,-0.0144534583022656,-0.00539769020390674,-0.00316334235932818,-0.0504529086207424,0.0381264769918135,-0.00358509601148145,-0.00135131024968969,0.014220033574336,-0.00345420053491748,0.0211991647508827,0.00659743278024651,-0.000633358536194561,-0.0169172341809942,-0.0148783612131602,0.0267806734661715,-0.0128893056871436,-0.00686022127353986,-0.000361477570416866,-2.18835278850548
"CI_lwbd",-0.00911076776654641,-0.4075643893407,-0.40664524590177,-0.0875961499997661,0.00484955007427867,-0.252825951510904,-0.108682143269813,-0.0619407482849775,-0.101447532380308,-0.449803095844501,-0.0366269073796769,-0.0626241591689915,-0.00632322814938539,-0.0951814927319377,-0.00721465958797433,0.0340752988711661,-0.030864815300094,-0.0513903157833909,-0.0952154181590541,-0.00605341717063945,0.0318420302236564,-0.0233537967516589,0.00530528747287489,-0.00994603282175986,-0.0509652767954273,-0.0113649028589622,-0.0111482929994092,-0.00613810291857293,-0.0148672048431419,-0.0296837849932497,-0.0243731632069103,-0.0151286558492633,-0.004441517800884,-0.00938423568760739,0.00197319739925147,-0.00230635766181439,-0.0280769660548191,-0.0134166647577408,-0.0113364383288991,0.0048526875665497,-0.02455273126003,-0.0292651125576853,-0.0151695183224582,-0.00931605677196235,-0.070434576129774,0.00325553109880905,-0.0129706231762373,-0.00496081589868829,0.0053128949676413,-0.00842819495140576,0.0100919126709803,0.000524049292917691,-0.00644558140439409,-0.0310237870966952,-0.0286975747995168,0.0159895727341781,-0.0277969992264359,-0.0142724378441958,-0.0059446101532561,-2.39838285631418
