rsFC1
01-14
04-24
04-78
05-51
06-14
07-13
07-52
07-56
07-64
07-75
07-82
10-58
10-63
10-64
11-64
12-37
12-71
13-64
14-15
14-34
14-57
14-76
14-77
15-58
17-27
22-27
22-50
22-51
26-67
26-76
27-51
27-71
27-73
27-78
28-37
28-57
29-53
33-67
35-45
36-73
40-60
42-73
42-77
49-56
50-55
54-73
56-58
56-76
58-66
58-81
61-71
61-73
64-71
65-83
70-71
70-78
71-84
78-81
78-82
