rsFC3
04-24
04-78
05-51
06-14
06-16
07-13
07-52
07-56
07-64
07-75
07-82
10-63
10-64
10-82
11-22
11-64
12-71
13-64
14-15
14-34
14-57
14-76
17-27
20-57
22-27
22-66
22-84
24-73
26-42
26-57
26-67
26-76
27-71
27-73
27-78
28-37
28-57
29-53
33-67
35-45
36-37
36-73
40-60
42-67
42-73
46-56
49-56
50-55
54-73
56-66
56-73
56-81
58-66
58-81
61-73
64-78
65-83
71-84
78-81
78-82
