SC1
02-21
02-22
07-49
11-72
12-10
13-70
16-80
18-54
19-75
20-7
20-27
22-81
23-33
24-81
25-32
25-66
26-47
27-47
29-8
30-4
30-7
31-5
31-30
34-66
39-72
42-51
43-6
43-81
47-3
47-22
47-26
47-28
47-69
48-2
49-34
53-19
53-42
54-49
54-68
56-81
59-20
61-18
66-67
66-69
69-84
70-49
71-46
72-54
72-67
73-84
74-26
76-11
76-42
77-15
79-78
82-9
82-76
83-45
83-69
84-2
84-20
84-59
